task,record_id,rank,grade,delivered,prompt_truncated,returned_text_chars,delivered_text_chars,content_summary,assessment_reason
T1,T1-R1,1,0,True,False,2353,2353,Documentation request for an unrelated three-role workflow.,"A request to document a three-role workflow supplies hand-off fields and role boundaries, but no result-emission behaviour. Its generic read-before-edit instruction is insufficient for task relevance."
T1,T1-R2,2,0,True,False,2487,2487,Description update repeating the workflow-documentation request.,A near-duplicate description update of the workflow-documentation request. None of its substantive technical instructions concerns the required emitter.
T1,T1-R3,3,2,True,False,4000,4000,Earlier result-emission contract specification with directly relevant symbols and operations.,"The earlier emission-contract specification names result_io.py, emit_result, response_errors, minimal_failed_response, compact json.dumps, atomic replacement and final-line stdout. It directly supports several required claims, although its intended byte ceiling must still be checked against actual code."
T1,T1-R4,4,0,True,True,2795,1602,A command-line portfolio-demo wrapper request.,The record requests a command-line wrapper for a different portfolio calculator. Inspecting its signature and creating output paths does not explain the emitter or its truncation semantics.
T1,T1-R5,5,2,False,False,4000,0,Another version of the earlier result-emission specification.,"A near-duplicate of the directly relevant emission-contract specification at rank 3. It is a separate returned position, but not independent technical evidence. The complete record is omitted from the rendered prompt."
T2,T2-R1,1,0,True,False,2795,2795,An unrelated calculator wrapper with a syntax-only check.,The wrapper request concerns command-line arguments and a different calculator. Its syntax-only check gives no clock-abstraction or controllable-time test guidance; generic interface-preservation wording alone is not counted.
T2,T2-R2,2,1,True,False,1080,1080,Behaviour-preserving extraction of repeated environment checks into a helper.,"Extracting repeated environment checks into a shared helper is a concrete analogous refactor in the same runtime. It supports behaviour-preserving abstraction but contains no clock interface, dependency injection, strict timeout boundary or fake-clock test."
T2,T2-R3,3,0,True,False,1561,1561,An unrelated portfolio-routing extension and recorded failure.,Adding a portfolio action to a routing module is unrelated to time measurement or the required tests. A rate-limit outcome and the instruction to preserve other routes are insufficient technical guidance for this task.
T2,T2-R4,4,2,True,False,1523,1523,A timed-scheduling specification explicitly requiring offline fake-clock tests.,"The timing-sensitive scheduling task explicitly requires offline tests using a fake clock and checks scheduled timing and timeout-related stopping. The fake-clock testing technique directly matches an evaluated T2 obligation, although it does not specify BudgetGuard's classes, None handling or strict greater-than boundary."
T2,T2-R5,5,2,True,False,1591,1591,A description update repeating the fake-clock testing requirement.,"The description update repeats the same applicable fake-clock test requirement at rank 4. It counts as a returned position, not a second independent source of that requirement."
T3,T3-R1,1,1,True,False,2524,2524,"Monthly signal-selected portfolio analytics, requiring adaptation to T3's daily fixed-input conventions.","The earlier monthly portfolio task gives concrete compounding and volatility-annualisation guidance and requests saved numerical artifacts. Transfer requires replacing monthly scaling and signal-selected equal weights with T3's daily frequency, fixed weights and explicit rebalance/cost conventions. It does not directly specify the evaluated calculation contract."
T3,T3-R2,2,1,True,False,3472,3472,"Temporal-helper guidance on date ordering, row alignment and no look-ahead.","The temporal-helper task specifies chronological sorting, alignment back to original rows and no-look-ahead tests. These are transferable time-series practices, but lag/delta operators, grouped stocks and pandas code do not directly solve a T3 item or define its required arithmetic tool operations."
T3,T3-R3,3,1,True,False,3472,3472,Another run record repeating the temporal-helper request.,"The technical request repeats rank 2, with a different historical run identifier. It offers the same indirect time-series guidance, not an additional independent method or a T3 solution."
T3,T3-R4,4,1,True,True,4000,963,Related temporal-helper family; its later alignment/testing detail is truncated at delivery.,"The related temporal-helper family specifies date sorting, stock isolation and no-look-ahead checks. These are indirect safeguards, not the portfolio wealth, drawdown, rebalancing or item-store contract. Prompt truncation removes most of the later instructions; only the early time-ordered operator and warm-up description survives."
T3,T3-R5,5,1,False,False,4000,0,"Another temporal-helper record, omitted from the delivered evidence block.",A near-duplicate temporal-helper request gives the same transferable safeguards with slightly different surrounding instructions. It supplies no direct T3 calculation contract and is entirely omitted from the rendered prompt.
